State,City,Allocation,
Michigan,Southfield,"$9,819,555.00",
Michigan,St Clair Shores,"$21,247,393.00",
Michigan,Sterling Heights,"$19,837,262.00",
Michigan,Taylor,"$11,593,181.00",
Michigan,Troy city,"$8,181,545.00",
Michigan,Warren,"$27,318,439.00",
Michigan,Waterford Township,"$9,280,012.00",
Michigan,West Bloomfield charter township,"$5,807,871.00",
Michigan,Westland,"$25,932,032.00",
Michigan,Wyoming,"$13,155,842.00",
Michigan,Ypsilanti charter township,"$9,439,025.00",
Minnesota,Apple Valley city,"$5,647,258.00",
Minnesota,Blaine city,"$6,793,793.00",
Minnesota,Bloomington,"$11,396,081.00",
Minnesota,Brooklyn Park city,"$11,052,580.00",
Minnesota,Burnsville city,"$8,037,982.00",
Minnesota,Coon Rapids city,"$6,568,368.00",
Minnesota,Duluth,"$58,117,859.00",
Minnesota,Eagan city,"$6,917,343.00",
Minnesota,Eden Prairie,"$7,447,401.00",
Minnesota,Edina city,"$4,932,493.00",
Minnesota,Lakeville city,"$5,438,774.00",
Minnesota,Mankato City,"$10,097,143.00",
Minnesota,Maple Grove city,"$5,109,436.00",
Minnesota,Minneapolis,"$271,192,484.00",
Minnesota,Minnetonka city,"$4,733,320.00",
Minnesota,Moorhead,"$7,099,345.00",
Minnesota,Plymouth,"$7,021,371.00",
Minnesota,Rochester,"$17,435,537.00",
Minnesota,St Cloud,"$16,463,610.00",
Minnesota,St Paul,"$166,641,623.00",
Minnesota,Woodbury City,"$6,012,584.00",
Mississippi,Biloxi,"$11,098,303.00",
Mississippi,Gulfport,"$19,503,534.00",
Mississippi,Hattiesburg,"$12,875,821.00",
Mississippi,Jackson,"$42,098,330.00",
Mississippi,Moss Point,"$2,722,613.00",
